algorithm,score_method,sample_size,error
pc,pillai,10000,"frozenset({'LENGUA_MATERNA_VICTIMA', 'ETNIA_VICTIMA'})"
pc,pillai,20000,"frozenset({'LENGUA_MATERNA_VICTIMA', 'ETNIA_VICTIMA'})"
